text,target,char_len,word_count
sahi bt h,Positive,7,3
"Kya bt hai,",Positive,9,3
Wah je wah,Positive,8,3
Are wha kaya bat hai,Positive,16,5
Wah kya baat likhi,Positive,15,4
Wha Itni sari khubiya,Positive,18,4
Itni khubiya,Positive,11,2
Ya allah rehm farma hm sab pe or zalimo ko hidayat de ameen,Positive,47,13
Allah insaaf karey,Positive,16,3
Je Thik Kaha Right,Positive,15,4
jee ye to he,Positive,9,4
Maa cheez e ASE ha jis ka koi namil Badl Ni,Positive,33,11
Wah wah yeh toh hy,Positive,14,5
jee ye to he,Positive,9,4
Zenda bad yar,Positive,11,3
Wha bhut qoob,Positive,11,3
"right
Or sada time same nahi rehtaaaaaa",Positive,34,6
Wha wha kaya bat hai,Positive,16,5
Bohat khoob so true Alhamdulillah,Positive,29,5
Sjdo me bhi wo hi pda he jis k dil me khuda ka Dr he .,Positive,39,16
Beshaq haq baat hai,Positive,16,4
Right mara jasa masom log,Positive,21,5
MashaAllah.,Positive,11,1
Mubarak,Positive,7,1
Ma hun Hero tara <3,Positive,15,5
Feel kar speed bot ki <3,Positive,19,6
Great Aadmi Aadmi,Positive,15,3
He has one son with her,Positive,18,6
Wohi un ki infaradiyat bana,Positive,23,5
Har taraf ataullah Niazi ki singing ka charcha hone laga,Positive,47,10
Is tarah wo aaj tak sab ke Lala he hain,Positive,30,10
She won the PTV award and Lux style award also,Positive,37,10
Inka har andaaz munfarid aur har roop judagana hai,Positive,42,9
Inho ne har field mein apna loha manwaya hai,Positive,36,9
Jis se in ki do betiyan hain,Positive,22,7
Jis mein bushra ne bijli ka role adaa kar ke meyla loot liya,Positive,48,13
Yaar yeh be fitt ha.,Positive,16,5
Ap to hero ho  . Autograph do na 😂😂,Positive,26,10
Autograph milay ga ..zroooor milay ga,Positive,32,6
hahahaha ye acha hai :P,Positive,19,5
Apka zehr mjh pe b nae axr kry ga i hv antizehr of ur zehr 😒😊,Positive,46,16
Hahahaa...qasmay dil ki awaz h meri ye page :-D,Positive,39,9
aala :D :D,Positive,8,3
app k dil ki bhi. :),Positive,15,6
buht achi bat kahi he,Positive,17,5
uff yeh apki paakbaaz soch :'),Positive,25,6
Cara Jvd bilkul aisa hi kuch main apko b kehna chahti hn :D,Positive,47,13
Hahaha wah saen wah 😂😂😂,Positive,19,5
Baari ap to famous ho gai hain ♥,Positive,25,8
Hahaha... ye time ni nikal skta... u r too demanding girl,Positive,47,11
Khushi se hori hy itne likes dekh k,Positive,28,8
Ufff dono kis trha parri hain :D:D chalo na krwao :p,Positive,42,11
Akhir student kis k hnnnnn...😂😉😂,Positive,28,5
Ji bilkul paisaaa wasooool comments,Positive,31,5
aap tau millionaire ban jaen gee,Positive,27,6
Hahaha  tum to hurr jaghaa famous ho <3,Positive,31,9
caption khass ap ky liye :'D,Positive,23,6
Pta Ni Kahan hoty Hain aese kamyab mard 😁,Positive,33,9
Hehehehehe unmarried hona chahiye bs 😁,Positive,33,6
mil jae ga dnt worry,Positive,16,5
Dekho wo hum ny reject krdia na ye b kaamyabi hi hoti hai😂,Positive,46,13
32k mn kia hoga yr xD,Positive,16,6
Abhi 5o party shoro hoi he,Positive,21,6
Hahahaha shukria shukria,Positive,22,3
yani hum dono kamyab hain 🤣🤣,Positive,23,6
kyn k tu khud ek kamyab aurat hai lol apni mehnat se 🤣🤣,Positive,43,13
mere pas kamyaab maa hai. 😂😂😂😂,Positive,25,6
Yeh tou hai mard apni biwi ki kismat say hi kamaata hai,Positive,44,12
Hum hun gay kamyab aik din ,Positive,21,7
Mene dhoundh lia akhir 💃👫 😛😉♥️😍  I m lucky 😁🤫,Positive,35,11
hum honga kamyab aiek din🙈🙈😂😂,Positive,25,5
Allah Tallah hama b aisa hi banda da 😂😂😂😂,Positive,33,9
hum 2no e kamyab hain 😀😀😀😀,Positive,21,6
hum kaamiyab hein 😉,Positive,16,4
Allah khair kay ga,Positive,15,4
Alhamdulillah me kamyab aurat,Positive,26,4
bilkul sahi kaha,Positive,14,3
bhai app kamyab hain 😂😝,Positive,19,5
MashaALLAH ALLAH pak sb k leay acha keray ameen,Positive,39,9
ameen han sana no extravagence,Positive,26,5
bt dil ko achi lgi.,Positive,15,5
Point pe hy puray 😋,Positive,15,5
ye hoti hai kamyabi 😂,Positive,17,5
"Koi ni, perfectly imperfct tou mil jye ga😉",Positive,35,8
Mil jaye ga .... Apna dhondh ln phir tmhry leay b 😉,Positive,40,12
Lkn phr b roub tou bari ka hi hota😂,Positive,27,9
Yr wesy mil k sb ko set kr dyn gyn 😂,Positive,26,11
Ptq ni ab set krengy ya khud set hongy😔,Positive,31,9
Bs sai wa swery fir uni da hostel done ay :-D,Positive,35,11
Haha idea bura nai tha wesy chalo nxt sae 😎,Positive,34,10
"Xactly,cup apna,spoon apna... SAKOON APNA ....😜😛",Positive,43,6
Aisaaa hi hai...,Positive,14,3
tere lye bday gft mil gya😉,Positive,21,6
Pyar bharta h ase,Positive,14,4
Kiaa pata behna shareef ho,Positive,22,5
shareef hi hai,Positive,12,3
tm dost ho yar keh skti ho,Positive,20,7
me idhr b aisi hun apko islamabad ka shak pra rehta🤣,Positive,42,11
Alhumdulilah ghalazat to nhi hai 😈😯👊👊👊👊👊,Positive,35,6
Hahah hum bi apko sharif hi smjta han jnb,Positive,33,9
Haha Haha haye mei war jaon🤣🤣🤣,Positive,25,6
tm mere kch kehne se pehle he smjh jatay ho sb,Positive,36,11
Woh to MASHA'ALLAH se meri qabliat Hai.. ,Positive,34,8
Aur masoomiyat bhi ,Positive,16,4
ye apke liye likha gaya hai ... area per square eench :P,Positive,45,12
Bhai main ek shareef insan hon :-P,Positive,28,7
yd h aik mohtrma hua krti ti shareeef tareeen bibi 😂😂😂,Positive,44,11
Haha...mtlb main shareef nazar aati hun...😜😁,Positive,39,6
Wyse main shareef hun b...😂😉,Positive,24,5
no galazaat,Positive,10,2
Wo to shukar hy aesi technology ai nh abhi😂😂,Positive,36,9
shreef bcha,Positive,10,2
hn hn bohot shreef,Positive,15,4
Bolti rahu but ma messani ni,Positive,23,6
bht saaaf or shareeef hun koi ghalazat nai 😂,Positive,36,9
wah wah kia soch pyi hy shahneez😂,Positive,27,7
dair aye pr drust aye 😂😂,Positive,19,6
hi rabi tu kitni famous hu gai,Positive,24,7
😀 meray shareef dost,Positive,17,4
Hell true :-/ waday tusi sharif hunh,Positive,30,7
Han koi shak ni,Positive,12,4
pyari baat,Positive,9,2
....ap k liay kuch khoobsurat batain😎🤗,Positive,33,6
Haha dafa karo aj kal ghlazat sy door he rehta hun :-D,Positive,43,12
Ap b shreef hain isi leye mn apko shareef lgi 😊😂😂😂😂,Positive,41,11
Sahi Kaha😂😂,Positive,10,2
Shabash khabeesni ..sahi boli aik dum !!,Positive,34,7
Aur tm safai se kr jati ho 👊🏻👊🏻😒,Positive,25,8
Moqay py choka,Positive,12,3
Sb hi mazay k hain,Positive,14,5
aja pilati😝😝,Positive,11,2
Janeman sari chizaaay kehlaooo gi treat pr,Positive,36,7
Dabba Khali is liye ho ga kyun k tum kha chuki ho gi na 😂😂😂,Positive,45,15
Sharab pin gy wd sheesha 😂😂😂 sutty lgain gy jani sutty,Positive,44,11
ye ly or fkr na kr hm 7 7 hain,Positive,21,10
Peene wala bann aja.. tujhy sahi se coca cola pilaoga..,Positive,46,10
Buri bat achhy bchchy galiyan nhi dety,Positive,32,7
ap mahaan ho ap india chaly jao 🤣,Positive,26,8
anum tum kini pyari ho,Positive,18,5
Bas bas bhan itna pyar na do samhala nae jay ga😂😂😂,Positive,40,11
aray is se b ziada don gi ane to do😄,Positive,27,10
Achha krti ho,Positive,11,3
Sae kha,Positive,6,2
Allah ka shuakr hy ye tw hum per 😂,Positive,26,9
changi gal hy,Positive,11,3
tab main tumain btao ge na 😂 aur bhe maza ae ga,Positive,36,12
